Timestamp,PacketID,RSSI_dBm,Corrente_A,Comando_Pct,TensaoTotal_V,Celulas_N,C1,C2,C3,C4,C5,C6,Corrente_Med_A,Corrente_Min_A,LoopMs,PwmIdleMs
2026-06-01T22_17_05,18447,-48,1.04,3,16.52,4,3.989,4.254,4.142,4.133,0.000,0.000,-0.34,-1.47,63,6
2026-06-01T22_17_05,18448,-48,0.66,0,16.52,4,3.989,4.254,4.142,4.133,0.000,0.000,-0.37,-1.47,19,11
2026-06-01T22_17_05,18449,-48,0.91,0,16.52,4,3.989,4.254,4.142,4.133,0.000,0.000,-0.36,-1.35,19,0
2026-06-01T22_17_05,18450,-50,1.42,0,16.52,4,3.990,4.254,4.143,4.132,0.000,0.000,-0.30,-1.60,19,10
2026-06-01T22_17_05,18451,-50,0.91,3,16.52,4,3.990,4.254,4.143,4.133,0.000,0.000,-0.44,-1.60,19,0
2026-06-01T22_17_05,18452,-50,1.04,0,16.52,4,3.989,4.253,4.143,4.133,0.000,0.000,-0.27,-1.35,19,10
2026-06-01T22_17_05,18453,-50,1.04,0,16.52,4,3.990,4.254,4.143,4.133,0.000,0.000,-0.39,-1.60,19,0
2026-06-01T22_17_05,18454,-48,1.04,0,16.52,4,3.990,4.254,4.143,4.132,0.000,0.000,-0.26,-1.22,19,10
2026-06-01T22_17_05,18455,-48,0.91,0,16.52,4,3.989,4.254,4.143,4.132,0.000,0.000,-0.31,-1.47,19,0
2026-06-01T22_17_05,18456,-52,1.79,0,16.52,4,3.989,4.254,4.143,4.133,0.000,0.000,-0.31,-1.72,19,10
2026-06-01T22_17_06,18457,-52,0.91,0,16.52,4,3.990,4.254,4.143,4.133,0.000,0.000,-0.32,-1.35,19,0
2026-06-01T22_17_06,18458,-51,1.29,0,16.52,4,3.989,4.254,4.142,4.132,0.000,0.000,-0.32,-1.47,19,9
2026-06-01T22_17_06,18459,-51,0.91,0,16.52,4,3.989,4.254,4.143,4.133,0.000,0.000,-0.37,-1.35,19,0
2026-06-01T22_17_06,18460,-49,1.04,0,16.52,4,3.989,4.254,4.143,4.133,0.000,0.000,-0.27,-1.47,19,9
2026-06-01T22_17_06,18461,-49,1.16,0,16.52,4,3.990,4.254,4.143,4.133,0.000,0.000,-0.27,-1.10,19,0
2026-06-01T22_17_06,18462,-51,1.04,0,16.52,4,3.990,4.254,4.143,4.132,0.000,0.000,-0.35,-1.35,19,9
2026-06-01T22_17_06,18463,-51,0.66,0,16.52,4,3.990,4.254,4.143,4.133,0.000,0.000,-0.34,-1.35,19,0
2026-06-01T22_17_06,18464,-51,1.16,0,16.52,4,3.990,4.253,4.144,4.133,0.000,0.000,-0.32,-1.60,19,8
2026-06-01T22_17_06,18465,-51,1.16,0,16.52,4,3.990,4.253,4.143,4.132,0.000,0.000,-0.39,-1.35,19,18
2026-06-01T22_17_06,18466,-50,1.04,0,16.52,4,3.990,4.254,4.142,4.135,0.000,0.000,-0.44,-1.85,19,8
2026-06-01T22_17_06,18467,-50,1.16,0,16.52,4,3.990,4.253,4.143,4.133,0.000,0.000,-0.28,-1.22,19,18
2026-06-01T22_17_06,18468,-49,1.16,0,16.52,4,3.990,4.254,4.143,4.133,0.000,0.000,-0.27,-1.47,19,8
2026-06-01T22_17_06,18469,-49,1.29,0,16.52,4,3.989,4.254,4.142,4.133,0.000,0.000,-0.27,-1.72,19,18
2026-06-01T22_17_06,18470,-51,1.04,0,16.52,4,3.990,4.254,4.142,4.133,0.000,0.000,-0.33,-1.35,19,8
2026-06-01T22_17_06,18471,-51,0.79,0,16.52,4,3.990,4.253,4.143,4.133,0.000,0.000,-0.35,-1.35,19,18
2026-06-01T22_17_06,18472,-51,0.91,1,16.52,4,3.990,4.254,4.143,4.132,0.000,0.000,-0.32,-1.22,19,7
2026-06-01T22_17_06,18473,-52,0.91,0,16.52,4,3.990,4.254,4.143,4.133,0.000,0.000,-0.33,-1.35,19,17
2026-06-01T22_17_06,18474,-52,1.16,1,16.52,4,3.990,4.254,4.143,4.133,0.000,0.000,-0.39,-1.35,19,7
2026-06-01T22_17_06,18475,-50,0.79,0,16.52,4,3.990,4.254,4.142,4.134,0.000,0.000,-0.30,-1.60,19,17
2026-06-01T22_17_06,18476,-50,1.04,2,16.52,4,3.990,4.253,4.143,4.133,0.000,0.000,-0.29,-1.47,19,7
2026-06-01T22_17_07,18477,-50,1.29,0,16.52,4,3.989,4.254,4.143,4.134,0.000,0.000,-0.34,-1.72,19,17
2026-06-01T22_17_07,18478,-50,1.04,1,16.52,4,3.990,4.254,4.143,4.133,0.000,0.000,-0.29,-1.47,19,7
2026-06-01T22_17_07,18479,-50,0.79,0,16.52,4,3.989,4.254,4.143,4.133,0.000,0.000,-0.39,-1.85,19,16
2026-06-01T22_17_07,18480,-50,0.79,0,16.52,4,3.989,4.254,4.143,4.133,0.000,0.000,-0.42,-1.47,19,6
2026-06-01T22_17_07,18481,-48,1.16,0,16.52,4,3.989,4.254,4.143,4.133,0.000,0.000,-0.33,-1.47,19,16
2026-06-01T22_17_07,18482,-48,1.42,0,16.52,4,3.989,4.254,4.143,4.132,0.000,0.000,-0.32,-1.47,19,6
2026-06-01T22_17_07,18483,-48,0.54,0,16.52,4,3.990,4.254,4.143,4.133,0.000,0.000,-0.42,-1.35,19,16
2026-06-01T22_17_07,18484,-48,1.42,0,16.52,4,3.989,4.254,4.143,4.134,0.000,0.000,-0.25,-1.35,19,6
2026-06-01T22_17_07,18485,-49,1.16,0,16.52,4,3.990,4.254,4.142,4.133,0.000,0.000,-0.31,-1.72,19,16
2026-06-01T22_17_07,18486,-49,1.04,2,16.52,4,3.989,4.255,4.143,4.133,0.000,0.000,-0.39,-1.72,19,5
2026-06-01T22_17_07,18487,-49,0.91,0,16.52,4,3.990,4.254,4.143,4.133,0.000,0.000,-0.34,-1.47,19,15
2026-06-01T22_17_07,18488,-49,0.66,3,16.52,4,3.989,4.255,4.142,4.134,0.000,0.000,-0.36,-1.47,19,5
2026-06-01T22_17_07,18489,-51,0.91,0,16.52,4,3.990,4.254,4.143,4.134,0.000,0.000,-0.25,-1.22,19,15
2026-06-01T22_17_07,18490,-51,0.79,0,16.52,4,3.989,4.254,4.143,4.133,0.000,0.000,-0.29,-1.60,19,5
2026-06-01T22_17_07,18491,-49,0.91,0,16.52,4,3.990,4.254,4.142,4.133,0.000,0.000,-0.23,-1.22,19,15
2026-06-01T22_17_07,18492,-49,1.67,0,16.52,4,3.990,4.254,4.142,4.134,0.000,0.000,-0.34,-1.47,19,5
2026-06-01T22_17_07,18493,-50,0.79,0,16.52,4,3.990,4.254,4.142,4.133,0.000,0.000,-0.36,-1.47,19,14
2026-06-01T22_17_07,18494,-50,2.80,2,16.52,4,3.990,4.254,4.142,4.135,0.000,0.000,-0.23,-1.47,19,4
2026-06-01T22_17_07,18495,-49,0.79,0,16.52,4,3.990,4.254,4.142,4.134,0.000,0.000,-0.43,-1.60,19,14
2026-06-01T22_17_07,18496,-49,1.04,0,16.52,4,3.990,4.254,4.143,4.134,0.000,0.000,-0.38,-1.47,19,4
2026-06-01T22_17_08,18497,-47,1.92,0,16.52,4,3.989,4.254,4.143,4.132,0.000,0.000,-0.28,-1.47,19,14
2026-06-01T22_17_08,18498,-47,1.42,0,16.52,4,3.989,4.255,4.142,4.134,0.000,0.000,-0.37,-1.60,19,4
2026-06-01T22_17_08,18499,-47,0.91,0,16.52,4,3.989,4.255,4.142,4.135,0.000,0.000,-0.35,-1.60,19,14
2026-06-01T22_17_08,18500,-47,1.29,0,16.52,4,3.989,4.255,4.142,4.133,0.000,0.000,-0.36,-1.47,19,3
2026-06-01T22_17_08,18501,-46,1.16,0,16.52,4,3.989,4.255,4.143,4.133,0.000,0.000,-0.27,-1.47,19,13
2026-06-01T22_17_08,18502,-46,1.42,0,16.52,4,3.989,4.255,4.143,4.134,0.000,0.000,-0.32,-1.35,19,3
2026-06-01T22_17_08,18503,-45,0.66,0,16.52,4,3.989,4.255,4.142,4.133,0.000,0.000,-0.35,-3.48,19,13
2026-06-01T22_17_08,18504,-45,0.79,0,16.52,4,3.989,4.255,4.143,4.133,0.000,0.000,-0.37,-1.35,19,3
2026-06-01T22_17_08,18505,-44,1.04,0,16.52,4,3.989,4.255,4.142,4.134,0.000,0.000,-0.24,-1.47,19,13
2026-06-01T22_17_08,18506,-44,0.79,3,16.52,4,3.989,4.255,4.143,4.134,0.000,0.000,-0.33,-1.47,19,3
2026-06-01T22_17_08,18507,-45,1.29,0,16.52,4,3.989,4.255,4.143,4.133,0.000,0.000,-0.32,-1.35,19,13
2026-06-01T22_17_08,18508,-45,1.42,0,16.52,4,3.989,4.255,4.142,4.133,0.000,0.000,-0.28,-1.47,19,2
2026-06-01T22_17_08,18509,-47,1.04,0,16.52,4,3.989,4.255,4.142,4.135,0.000,0.000,-0.31,-1.35,19,12
2026-06-01T22_17_08,18510,-47,1.16,3,16.52,4,3.989,4.255,4.142,4.134,0.000,0.000,-0.27,-1.22,19,2
2026-06-01T22_17_08,18511,-47,0.79,0,16.52,4,3.989,4.254,4.142,4.133,0.000,0.000,-0.30,-1.22,19,12
2026-06-01T22_17_08,18512,-47,1.42,0,16.52,4,3.989,4.254,4.142,4.133,0.000,0.000,-0.29,-1.47,19,2
2026-06-01T22_17_08,18513,-45,1.04,0,16.52,4,3.990,4.255,4.143,4.133,0.000,0.000,-0.33,-1.47,19,12
2026-06-01T22_17_08,18514,-45,0.79,0,16.52,4,3.989,4.255,4.143,4.134,0.000,0.000,-0.40,-1.72,19,2
2026-06-01T22_17_08,18515,-45,0.79,0,16.52,4,3.989,4.254,4.143,4.134,0.000,0.000,-0.29,-1.22,19,11
2026-06-01T22_17_08,18516,-45,0.79,0,16.52,4,3.990,4.255,4.143,4.134,0.000,0.000,-0.34,-1.47,19,1
2026-06-01T22_17_09,18517,-45,0.79,0,16.52,4,3.989,4.255,4.143,4.133,0.000,0.000,-0.31,-1.85,18,11
2026-06-01T22_17_09,18518,-45,0.91,0,16.52,4,3.989,4.255,4.143,4.133,0.000,0.000,-0.31,-1.47,19,1
2026-06-01T22_17_09,18519,-45,0.79,0,16.52,4,3.989,4.256,4.143,4.134,0.000,0.000,-0.35,-1.35,19,11
2026-06-01T22_17_09,18520,-42,1.42,0,16.52,4,3.989,4.255,4.143,4.134,0.000,0.001,-0.29,-1.47,19,1
2026-06-01T22_17_09,18521,-42,1.29,0,16.52,4,3.989,4.255,4.143,4.133,0.000,0.000,-0.35,-1.47,19,11
2026-06-01T22_17_09,18522,-43,0.66,0,16.52,4,3.989,4.255,4.144,4.133,0.000,0.000,-0.34,-1.60,19,0
2026-06-01T22_17_09,18523,-43,1.04,0,16.52,4,3.989,4.255,4.143,4.133,0.000,0.000,-0.33,-1.72,19,10
2026-06-01T22_17_09,18524,-41,1.04,0,16.52,4,3.989,4.255,4.143,4.134,0.000,0.000,-0.27,-1.35,19,0
2026-06-01T22_17_09,18525,-41,1.04,0,16.52,4,3.989,4.255,4.143,4.133,0.000,0.000,-0.38,-1.60,19,10
2026-06-01T22_17_09,18526,-45,1.04,0,16.52,4,3.989,4.255,4.144,4.132,0.000,0.000,-0.40,-1.60,19,0
2026-06-01T22_17_09,18527,-45,0.91,0,16.52,4,3.989,4.255,4.143,4.134,0.000,0.000,-0.33,-1.22,19,10
2026-06-01T22_17_09,18528,-40,1.29,0,16.52,4,3.989,4.255,4.143,4.133,0.000,0.000,-0.37,-1.72,19,0
2026-06-01T22_17_09,18529,-40,1.04,0,16.52,4,3.989,4.255,4.143,4.133,0.000,0.000,-0.35,-1.22,19,9
2026-06-01T22_17_09,18530,-43,1.29,0,16.52,4,3.989,4.254,4.144,4.134,0.000,0.000,-0.32,-1.60,19,0
2026-06-01T22_17_09,18531,-43,0.91,0,16.52,4,3.990,4.255,4.143,4.133,0.000,0.000,-0.37,-1.22,19,9
2026-06-01T22_17_09,18532,-43,1.42,0,16.52,4,3.990,4.254,4.144,4.132,0.000,0.000,-0.30,-1.47,19,0
2026-06-01T22_17_09,18533,-43,1.29,0,16.52,4,3.989,4.255,4.143,4.133,0.000,0.000,-0.37,-1.60,19,9
2026-06-01T22_17_09,18534,-42,0.79,0,16.52,4,3.989,4.255,4.142,4.134,0.000,0.000,-0.41,-1.60,19,0
2026-06-01T22_17_09,18535,-42,1.16,0,16.52,4,3.990,4.254,4.143,4.134,0.000,0.000,-0.35,-1.47,19,9
2026-06-01T22_17_09,18536,-41,0.79,0,16.52,4,3.990,4.254,4.143,4.134,0.000,0.000,-0.30,-1.47,19,0
2026-06-01T22_17_10,18537,-41,1.42,0,16.52,4,3.989,4.255,4.143,4.133,0.000,0.000,-0.24,-1.22,19,8
2026-06-01T22_17_10,18538,-40,1.42,0,16.52,4,3.989,4.255,4.143,4.132,0.000,0.000,-0.27,-1.22,19,18
2026-06-01T22_17_10,18539,-40,1.04,0,16.52,4,3.989,4.255,4.142,4.134,0.000,0.000,-0.34,-1.35,19,8
2026-06-01T22_17_10,18540,-42,0.66,0,16.52,4,3.990,4.255,4.143,4.133,0.000,0.000,-0.35,-1.47,19,18
2026-06-01T22_17_10,18541,-42,0.91,0,16.52,4,3.989,4.255,4.143,4.132,0.000,0.000,-0.34,-1.60,19,8
2026-06-01T22_17_10,18542,-41,1.16,0,16.52,4,3.990,4.254,4.143,4.134,0.000,0.000,-0.30,-1.47,19,18
2026-06-01T22_17_10,18543,-41,0.66,0,16.52,4,3.989,4.254,4.144,4.133,0.000,0.000,-0.34,-1.60,19,8
2026-06-01T22_17_10,18544,-40,1.04,0,16.52,4,3.989,4.255,4.144,4.133,0.000,0.000,-0.36,-1.85,19,17
2026-06-01T22_17_10,18545,-40,1.16,2,16.52,4,3.990,4.255,4.142,4.133,0.000,0.000,-0.35,-1.35,19,7
2026-06-01T22_17_10,18546,-41,1.04,0,16.52,4,3.990,4.255,4.143,4.134,0.000,0.000,-0.37,-1.85,19,17
2026-06-01T22_17_10,18547,-41,0.91,1,16.52,4,3.989,4.254,4.144,4.134,0.000,0.000,-0.36,-1.22,19,7
