Timestamp,PacketID,RSSI_dBm,Corrente_A,Comando_Pct,TensaoTotal_V,Celulas_N,C1,C2,C3,C4,C5,C6,Corrente_Med_A,Corrente_Min_A,LoopMs,PwmIdleMs
2026-06-01T22_21_01,23155,-44,1.29,1,16.40,4,4.028,4.155,4.106,4.107,0.000,0.000,-0.16,-1.72,20,7
2026-06-01T22_21_01,23156,-43,1.16,0,16.40,4,4.028,4.156,4.106,4.109,0.000,0.000,-0.06,-1.35,19,16
2026-06-01T22_21_01,23157,-43,1.54,0,16.40,4,4.027,4.156,4.106,4.107,0.000,0.000,-0.11,-1.47,19,6
2026-06-01T22_21_01,23158,-43,0.91,0,16.40,4,4.028,4.156,4.105,4.108,0.000,0.000,-0.08,-1.47,19,15
2026-06-01T22_21_01,23159,-43,1.16,0,16.40,4,4.028,4.155,4.106,4.108,0.000,0.000,-0.16,-1.47,19,5
2026-06-01T22_21_01,23160,-43,1.29,0,16.40,4,4.028,4.156,4.105,4.108,0.000,0.000,-0.16,-1.47,19,15
2026-06-01T22_21_01,23161,-43,0.91,0,16.40,4,4.027,4.156,4.105,4.107,0.000,0.000,-0.19,-1.60,19,5
2026-06-01T22_21_01,23162,-44,1.16,0,16.40,4,4.027,4.156,4.106,4.106,0.000,0.000,-0.08,-1.35,19,15
2026-06-01T22_21_01,23163,-44,1.16,0,16.40,4,4.028,4.155,4.106,4.107,0.000,0.000,-0.27,-1.60,19,5
2026-06-01T22_21_01,23164,-44,1.29,0,16.40,4,4.027,4.156,4.106,4.106,0.000,0.000,-0.09,-1.35,19,15
2026-06-01T22_21_01,23165,-44,1.04,0,16.40,4,4.028,4.155,4.106,4.108,0.000,0.000,-0.09,-1.22,19,5
2026-06-01T22_21_01,23166,-41,1.16,0,16.40,4,4.028,4.155,4.106,4.108,0.000,0.000,-0.16,-1.35,19,14
2026-06-01T22_21_01,23167,-41,1.16,0,16.40,4,4.027,4.156,4.106,4.107,0.000,0.000,-0.19,-1.35,19,4
2026-06-01T22_21_02,23168,-44,1.04,0,16.40,4,4.028,4.155,4.106,4.107,0.000,0.000,-0.17,-1.35,19,14
2026-06-01T22_21_02,23169,-44,1.04,0,16.40,4,4.028,4.156,4.105,4.108,0.000,0.000,-0.21,-1.22,19,4
2026-06-01T22_21_02,23170,-44,0.79,0,16.40,4,4.027,4.156,4.106,4.106,0.000,0.000,-0.17,-1.10,19,14
2026-06-01T22_21_02,23171,-44,1.54,0,16.40,4,4.028,4.156,4.105,4.106,0.000,0.000,-0.12,-1.60,19,4
2026-06-01T22_21_02,23172,-46,1.16,0,16.40,4,4.028,4.156,4.105,4.107,0.000,0.000,-0.17,-1.47,19,14
2026-06-01T22_21_02,23173,-46,1.16,3,16.40,4,4.028,4.155,4.106,4.107,0.000,0.000,-0.13,-1.10,19,4
2026-06-01T22_21_02,23174,-44,1.79,0,16.40,4,4.028,4.156,4.105,4.107,0.000,0.000,-0.06,-1.35,19,14
2026-06-01T22_21_02,23175,-44,1.54,0,16.40,4,4.028,4.156,4.105,4.107,0.000,0.000,-0.15,-1.35,19,3
2026-06-01T22_21_02,23176,-44,2.80,0,16.40,4,4.027,4.156,4.105,4.107,0.000,0.000,-0.17,-1.60,19,13
2026-06-01T22_21_02,23177,-44,1.16,0,16.40,4,4.028,4.156,4.106,4.107,0.000,0.000,-0.10,-1.22,19,3
2026-06-01T22_21_02,23178,-47,1.16,0,16.40,4,4.028,4.155,4.106,4.108,0.000,0.000,-0.15,-1.35,19,13
2026-06-01T22_21_02,23179,-47,1.29,0,16.40,4,4.028,4.156,4.106,4.107,0.000,0.000,-0.12,-1.35,19,3
2026-06-01T22_21_02,23180,-48,0.91,0,16.40,4,4.027,4.156,4.106,4.106,0.000,0.000,-0.20,-1.35,19,13
2026-06-01T22_21_02,23181,-48,1.54,0,16.40,4,4.028,4.155,4.106,4.106,0.000,0.000,-0.14,-1.60,19,3
2026-06-01T22_21_02,23182,-47,1.29,0,16.40,4,4.028,4.155,4.106,4.106,0.000,0.000,-0.25,-1.60,19,13
2026-06-01T22_21_02,23183,-47,1.04,0,16.40,4,4.028,4.155,4.106,4.106,0.000,0.000,-0.11,-1.60,19,3
2026-06-01T22_21_02,23184,-48,1.16,0,16.40,4,4.028,4.155,4.106,4.107,0.000,0.000,-0.10,-1.22,19,12
